"sex","educ","region","year"
"F","6 years of college","South Atlantic","2000's"
"F","6 years of college","South Atlantic","2010's"
"F","6 years of college","South Atlantic","2020's"
"F","6 years of college","East South Central","1970's"
"F","6 years of college","East South Central","1980's"
"F","6 years of college","East South Central","1990's"
"F","6 years of college","East South Central","2000's"
"F","6 years of college","East South Central","2010's"
"F","6 years of college","East South Central","2020's"
"F","6 years of college","West South Central","1970's"
"F","6 years of college","West South Central","1980's"
"F","6 years of college","West South Central","1990's"
"F","6 years of college","West South Central","2000's"
"F","6 years of college","West South Central","2010's"
"F","6 years of college","West South Central","2020's"
"F","6 years of college","Mountain","1970's"
"F","6 years of college","Mountain","1980's"
"F","6 years of college","Mountain","1990's"
"F","6 years of college","Mountain","2000's"
"F","6 years of college","Mountain","2010's"
"F","6 years of college","Mountain","2020's"
"F","6 years of college","Pacific","1970's"
"F","6 years of college","Pacific","1980's"
"F","6 years of college","Pacific","1990's"
"F","6 years of college","Pacific","2000's"
"F","6 years of college","Pacific","2010's"
"F","6 years of college","Pacific","2020's"
"F","3rd grade","New England","1970's"
"F","3rd grade","New England","1980's"
"F","3rd grade","New England","1990's"
"F","3rd grade","New England","2000's"
"F","3rd grade","New England","2010's"
"F","3rd grade","New England","2020's"
"F","3rd grade","Middle Atlantic","1970's"
"F","3rd grade","Middle Atlantic","1980's"
"F","3rd grade","Middle Atlantic","1990's"
"F","3rd grade","Middle Atlantic","2000's"
"F","3rd grade","Middle Atlantic","2010's"
"F","3rd grade","Middle Atlantic","2020's"
"F","3rd grade","East North Central","1970's"
"F","3rd grade","East North Central","1980's"
"F","3rd grade","East North Central","1990's"
"F","3rd grade","East North Central","2000's"
"F","3rd grade","East North Central","2010's"
"F","3rd grade","East North Central","2020's"
"F","3rd grade","West North Central","1970's"
"F","3rd grade","West North Central","1980's"
"F","3rd grade","West North Central","1990's"
"F","3rd grade","West North Central","2000's"
"F","3rd grade","West North Central","2010's"
"F","3rd grade","West North Central","2020's"
"F","3rd grade","South Atlantic","1970's"
"F","3rd grade","South Atlantic","1980's"
"F","3rd grade","South Atlantic","1990's"
"F","3rd grade","South Atlantic","2000's"
"F","3rd grade","South Atlantic","2010's"
"F","3rd grade","South Atlantic","2020's"
"F","3rd grade","East South Central","1970's"
"F","3rd grade","East South Central","1980's"
"F","3rd grade","East South Central","1990's"
"F","3rd grade","East South Central","2000's"
"F","3rd grade","East South Central","2010's"
"F","3rd grade","East South Central","2020's"
"F","3rd grade","West South Central","1970's"
"F","3rd grade","West South Central","1980's"
"F","3rd grade","West South Central","1990's"
"F","3rd grade","West South Central","2000's"
"F","3rd grade","West South Central","2010's"
"F","3rd grade","West South Central","2020's"
"F","3rd grade","Mountain","1970's"
"F","3rd grade","Mountain","1980's"
"F","3rd grade","Mountain","1990's"
"F","3rd grade","Mountain","2000's"
"F","3rd grade","Mountain","2010's"
"F","3rd grade","Mountain","2020's"
"F","3rd grade","Pacific","1970's"
"F","3rd grade","Pacific","1980's"
"F","3rd grade","Pacific","1990's"
"F","3rd grade","Pacific","2000's"
"F","3rd grade","Pacific","2010's"
"F","3rd grade","Pacific","2020's"
"F","2nd grade","New England","1970's"
"F","2nd grade","New England","1980's"
"F","2nd grade","New England","1990's"
"F","2nd grade","New England","2000's"
"F","2nd grade","New England","2010's"
"F","2nd grade","New England","2020's"
"F","2nd grade","Middle Atlantic","1970's"
"F","2nd grade","Middle Atlantic","1980's"
"F","2nd grade","Middle Atlantic","1990's"
"F","2nd grade","Middle Atlantic","2000's"
"F","2nd grade","Middle Atlantic","2010's"
"F","2nd grade","Middle Atlantic","2020's"
"F","2nd grade","East North Central","1970's"
"F","2nd grade","East North Central","1980's"
"F","2nd grade","East North Central","1990's"
"F","2nd grade","East North Central","2000's"
"F","2nd grade","East North Central","2010's"
"F","2nd grade","East North Central","2020's"
"F","2nd grade","West North Central","1970's"
"F","2nd grade","West North Central","1980's"
"F","2nd grade","West North Central","1990's"
"F","2nd grade","West North Central","2000's"
"F","2nd grade","West North Central","2010's"
"F","2nd grade","West North Central","2020's"
"F","2nd grade","South Atlantic","1970's"
"F","2nd grade","South Atlantic","1980's"
"F","2nd grade","South Atlantic","1990's"
"F","2nd grade","South Atlantic","2000's"
"F","2nd grade","South Atlantic","2010's"
"F","2nd grade","South Atlantic","2020's"
"F","2nd grade","East South Central","1970's"
"F","2nd grade","East South Central","1980's"
"F","2nd grade","East South Central","1990's"
"F","2nd grade","East South Central","2000's"
"F","2nd grade","East South Central","2010's"
"F","2nd grade","East South Central","2020's"
"F","2nd grade","West South Central","1970's"
"F","2nd grade","West South Central","1980's"
"F","2nd grade","West South Central","1990's"
"F","2nd grade","West South Central","2000's"
"F","2nd grade","West South Central","2010's"
"F","2nd grade","West South Central","2020's"
"F","2nd grade","Mountain","1970's"
"F","2nd grade","Mountain","1980's"
"F","2nd grade","Mountain","1990's"
"F","2nd grade","Mountain","2000's"
"F","2nd grade","Mountain","2010's"
"F","2nd grade","Mountain","2020's"
"F","2nd grade","Pacific","1970's"
"F","2nd grade","Pacific","1980's"
"F","2nd grade","Pacific","1990's"
"F","2nd grade","Pacific","2000's"
"F","2nd grade","Pacific","2010's"
"F","2nd grade","Pacific","2020's"
"F","4th grade","New England","1970's"
"F","4th grade","New England","1980's"
"F","4th grade","New England","1990's"
"F","4th grade","New England","2000's"
"F","4th grade","New England","2010's"
"F","4th grade","New England","2020's"
"F","4th grade","Middle Atlantic","1970's"
"F","4th grade","Middle Atlantic","1980's"
"F","4th grade","Middle Atlantic","1990's"
"F","4th grade","Middle Atlantic","2000's"
"F","4th grade","Middle Atlantic","2010's"
"F","4th grade","Middle Atlantic","2020's"
"F","4th grade","East North Central","1970's"
"F","4th grade","East North Central","1980's"
"F","4th grade","East North Central","1990's"
"F","4th grade","East North Central","2000's"
"F","4th grade","East North Central","2010's"
"F","4th grade","East North Central","2020's"
"F","4th grade","West North Central","1970's"
"F","4th grade","West North Central","1980's"
"F","4th grade","West North Central","1990's"
"F","4th grade","West North Central","2000's"
"F","4th grade","West North Central","2010's"
"F","4th grade","West North Central","2020's"
"F","4th grade","South Atlantic","1970's"
"F","4th grade","South Atlantic","1980's"
"F","4th grade","South Atlantic","1990's"
"F","4th grade","South Atlantic","2000's"
"F","4th grade","South Atlantic","2010's"
"F","4th grade","South Atlantic","2020's"
"F","4th grade","East South Central","1970's"
"F","4th grade","East South Central","1980's"
"F","4th grade","East South Central","1990's"
"F","4th grade","East South Central","2000's"
"F","4th grade","East South Central","2010's"
"F","4th grade","East South Central","2020's"
"F","4th grade","West South Central","1970's"
"F","4th grade","West South Central","1980's"
"F","4th grade","West South Central","1990's"
"F","4th grade","West South Central","2000's"
"F","4th grade","West South Central","2010's"
"F","4th grade","West South Central","2020's"
"F","4th grade","Mountain","1970's"
"F","4th grade","Mountain","1980's"
"F","4th grade","Mountain","1990's"
"F","4th grade","Mountain","2000's"
"F","4th grade","Mountain","2010's"
"F","4th grade","Mountain","2020's"
"F","4th grade","Pacific","1970's"
"F","4th grade","Pacific","1980's"
"F","4th grade","Pacific","1990's"
"F","4th grade","Pacific","2000's"
"F","4th grade","Pacific","2010's"
"F","4th grade","Pacific","2020's"
"F","5th grade","New England","1970's"
"F","5th grade","New England","1980's"
"F","5th grade","New England","1990's"
"F","5th grade","New England","2000's"
"F","5th grade","New England","2010's"
"F","5th grade","New England","2020's"
"F","5th grade","Middle Atlantic","1970's"
"F","5th grade","Middle Atlantic","1980's"
"F","5th grade","Middle Atlantic","1990's"
"F","5th grade","Middle Atlantic","2000's"
"F","5th grade","Middle Atlantic","2010's"
"F","5th grade","Middle Atlantic","2020's"
"F","5th grade","East North Central","1970's"
"F","5th grade","East North Central","1980's"
"F","5th grade","East North Central","1990's"
"F","5th grade","East North Central","2000's"
"F","5th grade","East North Central","2010's"
"F","5th grade","East North Central","2020's"
"F","5th grade","West North Central","1970's"
"F","5th grade","West North Central","1980's"
"F","5th grade","West North Central","1990's"
"F","5th grade","West North Central","2000's"
"F","5th grade","West North Central","2010's"
"F","5th grade","West North Central","2020's"
"F","5th grade","South Atlantic","1970's"
"F","5th grade","South Atlantic","1980's"
"F","5th grade","South Atlantic","1990's"
"F","5th grade","South Atlantic","2000's"
"F","5th grade","South Atlantic","2010's"
"F","5th grade","South Atlantic","2020's"
"F","5th grade","East South Central","1970's"
"F","5th grade","East South Central","1980's"
"F","5th grade","East South Central","1990's"
"F","5th grade","East South Central","2000's"
"F","5th grade","East South Central","2010's"
"F","5th grade","East South Central","2020's"
"F","5th grade","West South Central","1970's"
"F","5th grade","West South Central","1980's"
"F","5th grade","West South Central","1990's"
"F","5th grade","West South Central","2000's"
"F","5th grade","West South Central","2010's"
"F","5th grade","West South Central","2020's"
"F","5th grade","Mountain","1970's"
"F","5th grade","Mountain","1980's"
"F","5th grade","Mountain","1990's"
"F","5th grade","Mountain","2000's"
"F","5th grade","Mountain","2010's"
"F","5th grade","Mountain","2020's"
"F","5th grade","Pacific","1970's"
"F","5th grade","Pacific","1980's"
"F","5th grade","Pacific","1990's"
"F","5th grade","Pacific","2000's"
"F","5th grade","Pacific","2010's"
"F","5th grade","Pacific","2020's"
"F","7 years of college","New England","1970's"
"F","7 years of college","New England","1980's"
"F","7 years of college","New England","1990's"
"F","7 years of college","New England","2000's"
"F","7 years of college","New England","2010's"
"F","7 years of college","New England","2020's"
"F","7 years of college","Middle Atlantic","1970's"
"F","7 years of college","Middle Atlantic","1980's"
"F","7 years of college","Middle Atlantic","1990's"
"F","7 years of college","Middle Atlantic","2000's"
"F","7 years of college","Middle Atlantic","2010's"
"F","7 years of college","Middle Atlantic","2020's"
"F","7 years of college","East North Central","1970's"
"F","7 years of college","East North Central","1980's"
"F","7 years of college","East North Central","1990's"
"F","7 years of college","East North Central","2000's"
"F","7 years of college","East North Central","2010's"
"F","7 years of college","East North Central","2020's"
"F","7 years of college","West North Central","1970's"
"F","7 years of college","West North Central","1980's"
"F","7 years of college","West North Central","1990's"
"F","7 years of college","West North Central","2000's"
"F","7 years of college","West North Central","2010's"
"F","7 years of college","West North Central","2020's"
"F","7 years of college","South Atlantic","1970's"
"F","7 years of college","South Atlantic","1980's"
"F","7 years of college","South Atlantic","1990's"
"F","7 years of college","South Atlantic","2000's"
"F","7 years of college","South Atlantic","2010's"
"F","7 years of college","South Atlantic","2020's"
"F","7 years of college","East South Central","1970's"
"F","7 years of college","East South Central","1980's"
"F","7 years of college","East South Central","1990's"
"F","7 years of college","East South Central","2000's"
"F","7 years of college","East South Central","2010's"
"F","7 years of college","East South Central","2020's"
"F","7 years of college","West South Central","1970's"
"F","7 years of college","West South Central","1980's"
"F","7 years of college","West South Central","1990's"
"F","7 years of college","West South Central","2000's"
"F","7 years of college","West South Central","2010's"
"F","7 years of college","West South Central","2020's"
"F","7 years of college","Mountain","1970's"
"F","7 years of college","Mountain","1980's"
"F","7 years of college","Mountain","1990's"
"F","7 years of college","Mountain","2000's"
"F","7 years of college","Mountain","2010's"
"F","7 years of college","Mountain","2020's"
"F","7 years of college","Pacific","1970's"
"F","7 years of college","Pacific","1980's"
"F","7 years of college","Pacific","1990's"
"F","7 years of college","Pacific","2000's"
"F","7 years of college","Pacific","2010's"
"F","7 years of college","Pacific","2020's"
"F","1st grade","New England","1970's"
"F","1st grade","New England","1980's"
"F","1st grade","New England","1990's"
"F","1st grade","New England","2000's"
"F","1st grade","New England","2010's"
"F","1st grade","New England","2020's"
"F","1st grade","Middle Atlantic","1970's"
"F","1st grade","Middle Atlantic","1980's"
"F","1st grade","Middle Atlantic","1990's"
"F","1st grade","Middle Atlantic","2000's"
"F","1st grade","Middle Atlantic","2010's"
"F","1st grade","Middle Atlantic","2020's"
"F","1st grade","East North Central","1970's"
"F","1st grade","East North Central","1980's"
"F","1st grade","East North Central","1990's"
"F","1st grade","East North Central","2000's"
"F","1st grade","East North Central","2010's"
"F","1st grade","East North Central","2020's"
"F","1st grade","West North Central","1970's"
"F","1st grade","West North Central","1980's"
"F","1st grade","West North Central","1990's"
"F","1st grade","West North Central","2000's"
"F","1st grade","West North Central","2010's"
"F","1st grade","West North Central","2020's"
"F","1st grade","South Atlantic","1970's"
"F","1st grade","South Atlantic","1980's"
"F","1st grade","South Atlantic","1990's"
"F","1st grade","South Atlantic","2000's"
"F","1st grade","South Atlantic","2010's"
"F","1st grade","South Atlantic","2020's"
"F","1st grade","East South Central","1970's"
"F","1st grade","East South Central","1980's"
"F","1st grade","East South Central","1990's"
"F","1st grade","East South Central","2000's"
"F","1st grade","East South Central","2010's"
"F","1st grade","East South Central","2020's"
"F","1st grade","West South Central","1970's"
"F","1st grade","West South Central","1980's"
"F","1st grade","West South Central","1990's"
"F","1st grade","West South Central","2000's"
"F","1st grade","West South Central","2010's"
"F","1st grade","West South Central","2020's"
"F","1st grade","Mountain","1970's"
"F","1st grade","Mountain","1980's"
"F","1st grade","Mountain","1990's"
"F","1st grade","Mountain","2000's"
"F","1st grade","Mountain","2010's"
"F","1st grade","Mountain","2020's"
"F","1st grade","Pacific","1970's"
"F","1st grade","Pacific","1980's"
"F","1st grade","Pacific","1990's"
"F","1st grade","Pacific","2000's"
"F","1st grade","Pacific","2010's"
"F","1st grade","Pacific","2020's"
"F","No formal schooling","New England","1970's"
"F","No formal schooling","New England","1980's"
"F","No formal schooling","New England","1990's"
"F","No formal schooling","New England","2000's"
"F","No formal schooling","New England","2010's"
"F","No formal schooling","New England","2020's"
"F","No formal schooling","Middle Atlantic","1970's"
"F","No formal schooling","Middle Atlantic","1980's"
"F","No formal schooling","Middle Atlantic","1990's"
"F","No formal schooling","Middle Atlantic","2000's"
"F","No formal schooling","Middle Atlantic","2010's"
"F","No formal schooling","Middle Atlantic","2020's"
"F","No formal schooling","East North Central","1970's"
"F","No formal schooling","East North Central","1980's"
"F","No formal schooling","East North Central","1990's"
"F","No formal schooling","East North Central","2000's"
"F","No formal schooling","East North Central","2010's"
"F","No formal schooling","East North Central","2020's"
"F","No formal schooling","West North Central","1970's"
"F","No formal schooling","West North Central","1980's"
"F","No formal schooling","West North Central","1990's"
"F","No formal schooling","West North Central","2000's"
"F","No formal schooling","West North Central","2010's"
"F","No formal schooling","West North Central","2020's"
"F","No formal schooling","South Atlantic","1970's"
"F","No formal schooling","South Atlantic","1980's"
"F","No formal schooling","South Atlantic","1990's"
"F","No formal schooling","South Atlantic","2000's"
"F","No formal schooling","South Atlantic","2010's"
"F","No formal schooling","South Atlantic","2020's"
"F","No formal schooling","East South Central","1970's"
"F","No formal schooling","East South Central","1980's"
"F","No formal schooling","East South Central","1990's"
"F","No formal schooling","East South Central","2000's"
"F","No formal schooling","East South Central","2010's"
"F","No formal schooling","East South Central","2020's"
"F","No formal schooling","West South Central","1970's"
"F","No formal schooling","West South Central","1980's"
"F","No formal schooling","West South Central","1990's"
"F","No formal schooling","West South Central","2000's"
"F","No formal schooling","West South Central","2010's"
"F","No formal schooling","West South Central","2020's"
"F","No formal schooling","Mountain","1970's"
"F","No formal schooling","Mountain","1980's"
"F","No formal schooling","Mountain","1990's"
"F","No formal schooling","Mountain","2000's"
"F","No formal schooling","Mountain","2010's"
"F","No formal schooling","Mountain","2020's"
"F","No formal schooling","Pacific","1970's"
"F","No formal schooling","Pacific","1980's"
"F","No formal schooling","Pacific","1990's"
"F","No formal schooling","Pacific","2000's"
"F","No formal schooling","Pacific","2010's"
"F","No formal schooling","Pacific","2020's"
"M","4 years of college","New England","1970's"
"M","4 years of college","New England","1980's"
"M","4 years of college","New England","1990's"
"M","4 years of college","New England","2000's"
"M","4 years of college","New England","2010's"
"M","4 years of college","New England","2020's"
"M","4 years of college","Middle Atlantic","1970's"
"M","4 years of college","Middle Atlantic","1980's"
"M","4 years of college","Middle Atlantic","1990's"
"M","4 years of college","Middle Atlantic","2000's"
"M","4 years of college","Middle Atlantic","2010's"
"M","4 years of college","Middle Atlantic","2020's"
"M","4 years of college","East North Central","1970's"
"M","4 years of college","East North Central","1980's"
"M","4 years of college","East North Central","1990's"
"M","4 years of college","East North Central","2000's"
"M","4 years of college","East North Central","2010's"
"M","4 years of college","East North Central","2020's"
"M","4 years of college","West North Central","1970's"
"M","4 years of college","West North Central","1980's"
"M","4 years of college","West North Central","1990's"
"M","4 years of college","West North Central","2000's"
"M","4 years of college","West North Central","2010's"
"M","4 years of college","West North Central","2020's"
"M","4 years of college","South Atlantic","1970's"
"M","4 years of college","South Atlantic","1980's"
"M","4 years of college","South Atlantic","1990's"
"M","4 years of college","South Atlantic","2000's"
"M","4 years of college","South Atlantic","2010's"
"M","4 years of college","South Atlantic","2020's"
"M","4 years of college","East South Central","1970's"
"M","4 years of college","East South Central","1980's"
"M","4 years of college","East South Central","1990's"
"M","4 years of college","East South Central","2000's"
"M","4 years of college","East South Central","2010's"
"M","4 years of college","East South Central","2020's"
"M","4 years of college","West South Central","1970's"
"M","4 years of college","West South Central","1980's"
"M","4 years of college","West South Central","1990's"
"M","4 years of college","West South Central","2000's"
"M","4 years of college","West South Central","2010's"
"M","4 years of college","West South Central","2020's"
"M","4 years of college","Mountain","1970's"
"M","4 years of college","Mountain","1980's"
"M","4 years of college","Mountain","1990's"
"M","4 years of college","Mountain","2000's"
"M","4 years of college","Mountain","2010's"
"M","4 years of college","Mountain","2020's"
"M","4 years of college","Pacific","1970's"
"M","4 years of college","Pacific","1980's"
"M","4 years of college","Pacific","1990's"
"M","4 years of college","Pacific","2000's"
"M","4 years of college","Pacific","2010's"
"M","4 years of college","Pacific","2020's"
"M","10th grade","New England","1970's"
"M","10th grade","New England","1980's"
"M","10th grade","New England","1990's"
"M","10th grade","New England","2000's"
"M","10th grade","New England","2010's"
"M","10th grade","New England","2020's"
"M","10th grade","Middle Atlantic","1970's"
"M","10th grade","Middle Atlantic","1980's"
"M","10th grade","Middle Atlantic","1990's"
"M","10th grade","Middle Atlantic","2000's"
"M","10th grade","Middle Atlantic","2010's"
"M","10th grade","Middle Atlantic","2020's"
"M","10th grade","East North Central","1970's"
"M","10th grade","East North Central","1980's"
"M","10th grade","East North Central","1990's"
"M","10th grade","East North Central","2000's"
"M","10th grade","East North Central","2010's"
"M","10th grade","East North Central","2020's"
"M","10th grade","West North Central","1970's"
"M","10th grade","West North Central","1980's"
"M","10th grade","West North Central","1990's"
"M","10th grade","West North Central","2000's"
"M","10th grade","West North Central","2010's"
"M","10th grade","West North Central","2020's"
"M","10th grade","South Atlantic","1970's"
"M","10th grade","South Atlantic","1980's"
"M","10th grade","South Atlantic","1990's"
"M","10th grade","South Atlantic","2000's"
"M","10th grade","South Atlantic","2010's"
"M","10th grade","South Atlantic","2020's"
"M","10th grade","East South Central","1970's"
"M","10th grade","East South Central","1980's"
"M","10th grade","East South Central","1990's"
"M","10th grade","East South Central","2000's"
"M","10th grade","East South Central","2010's"
"M","10th grade","East South Central","2020's"
"M","10th grade","West South Central","1970's"
"M","10th grade","West South Central","1980's"
"M","10th grade","West South Central","1990's"
"M","10th grade","West South Central","2000's"
"M","10th grade","West South Central","2010's"
"M","10th grade","West South Central","2020's"
"M","10th grade","Mountain","1970's"
"M","10th grade","Mountain","1980's"
"M","10th grade","Mountain","1990's"
"M","10th grade","Mountain","2000's"
"M","10th grade","Mountain","2010's"
"M","10th grade","Mountain","2020's"
"M","10th grade","Pacific","1970's"
"M","10th grade","Pacific","1980's"
"M","10th grade","Pacific","1990's"
"M","10th grade","Pacific","2000's"
"M","10th grade","Pacific","2010's"
"M","10th grade","Pacific","2020's"
"M","12th grade","New England","1970's"
"M","12th grade","New England","1980's"
"M","12th grade","New England","1990's"
"M","12th grade","New England","2000's"
"M","12th grade","New England","2010's"
"M","12th grade","New England","2020's"
"M","12th grade","Middle Atlantic","1970's"
"M","12th grade","Middle Atlantic","1980's"
"M","12th grade","Middle Atlantic","1990's"
"M","12th grade","Middle Atlantic","2000's"
"M","12th grade","Middle Atlantic","2010's"
"M","12th grade","Middle Atlantic","2020's"
"M","12th grade","East North Central","1970's"
"M","12th grade","East North Central","1980's"
"M","12th grade","East North Central","1990's"
"M","12th grade","East North Central","2000's"
"M","12th grade","East North Central","2010's"
"M","12th grade","East North Central","2020's"
"M","12th grade","West North Central","1970's"
"M","12th grade","West North Central","1980's"
"M","12th grade","West North Central","1990's"
"M","12th grade","West North Central","2000's"
"M","12th grade","West North Central","2010's"
"M","12th grade","West North Central","2020's"
"M","12th grade","South Atlantic","1970's"
"M","12th grade","South Atlantic","1980's"
"M","12th grade","South Atlantic","1990's"
"M","12th grade","South Atlantic","2000's"
"M","12th grade","South Atlantic","2010's"
"M","12th grade","South Atlantic","2020's"
"M","12th grade","East South Central","1970's"
"M","12th grade","East South Central","1980's"
"M","12th grade","East South Central","1990's"
"M","12th grade","East South Central","2000's"
"M","12th grade","East South Central","2010's"
"M","12th grade","East South Central","2020's"
"M","12th grade","West South Central","1970's"
"M","12th grade","West South Central","1980's"
"M","12th grade","West South Central","1990's"
"M","12th grade","West South Central","2000's"
"M","12th grade","West South Central","2010's"
"M","12th grade","West South Central","2020's"
"M","12th grade","Mountain","1970's"
"M","12th grade","Mountain","1980's"
"M","12th grade","Mountain","1990's"
"M","12th grade","Mountain","2000's"
"M","12th grade","Mountain","2010's"
"M","12th grade","Mountain","2020's"
"M","12th grade","Pacific","1970's"
"M","12th grade","Pacific","1980's"
"M","12th grade","Pacific","1990's"
"M","12th grade","Pacific","2000's"
"M","12th grade","Pacific","2010's"
"M","12th grade","Pacific","2020's"
"M","5 years of college","New England","1970's"
"M","5 years of college","New England","1980's"
"M","5 years of college","New England","1990's"
"M","5 years of college","New England","2000's"
"M","5 years of college","New England","2010's"
"M","5 years of college","New England","2020's"
"M","5 years of college","Middle Atlantic","1970's"
"M","5 years of college","Middle Atlantic","1980's"
"M","5 years of college","Middle Atlantic","1990's"
"M","5 years of college","Middle Atlantic","2000's"
"M","5 years of college","Middle Atlantic","2010's"
"M","5 years of college","Middle Atlantic","2020's"
"M","5 years of college","East North Central","1970's"
"M","5 years of college","East North Central","1980's"
"M","5 years of college","East North Central","1990's"
"M","5 years of college","East North Central","2000's"
"M","5 years of college","East North Central","2010's"
"M","5 years of college","East North Central","2020's"
"M","5 years of college","West North Central","1970's"
"M","5 years of college","West North Central","1980's"
"M","5 years of college","West North Central","1990's"
"M","5 years of college","West North Central","2000's"
"M","5 years of college","West North Central","2010's"
"M","5 years of college","West North Central","2020's"
"M","5 years of college","South Atlantic","1970's"
"M","5 years of college","South Atlantic","1980's"
"M","5 years of college","South Atlantic","1990's"
"M","5 years of college","South Atlantic","2000's"
"M","5 years of college","South Atlantic","2010's"
"M","5 years of college","South Atlantic","2020's"
"M","5 years of college","East South Central","1970's"
"M","5 years of college","East South Central","1980's"
"M","5 years of college","East South Central","1990's"
"M","5 years of college","East South Central","2000's"
"M","5 years of college","East South Central","2010's"
"M","5 years of college","East South Central","2020's"
"M","5 years of college","West South Central","1970's"
"M","5 years of college","West South Central","1980's"
"M","5 years of college","West South Central","1990's"
"M","5 years of college","West South Central","2000's"
"M","5 years of college","West South Central","2010's"
"M","5 years of college","West South Central","2020's"
"M","5 years of college","Mountain","1970's"
"M","5 years of college","Mountain","1980's"
"M","5 years of college","Mountain","1990's"
"M","5 years of college","Mountain","2000's"
"M","5 years of college","Mountain","2010's"
"M","5 years of college","Mountain","2020's"
"M","5 years of college","Pacific","1970's"
"M","5 years of college","Pacific","1980's"
"M","5 years of college","Pacific","1990's"
"M","5 years of college","Pacific","2000's"
"M","5 years of college","Pacific","2010's"
"M","5 years of college","Pacific","2020's"
"M","2 years of college","New England","1970's"
"M","2 years of college","New England","1980's"
"M","2 years of college","New England","1990's"
"M","2 years of college","New England","2000's"
"M","2 years of college","New England","2010's"
"M","2 years of college","New England","2020's"
"M","2 years of college","Middle Atlantic","1970's"
"M","2 years of college","Middle Atlantic","1980's"
"M","2 years of college","Middle Atlantic","1990's"
"M","2 years of college","Middle Atlantic","2000's"
"M","2 years of college","Middle Atlantic","2010's"
"M","2 years of college","Middle Atlantic","2020's"
"M","2 years of college","East North Central","1970's"
"M","2 years of college","East North Central","1980's"
"M","2 years of college","East North Central","1990's"
"M","2 years of college","East North Central","2000's"
"M","2 years of college","East North Central","2010's"
"M","2 years of college","East North Central","2020's"
"M","2 years of college","West North Central","1970's"
"M","2 years of college","West North Central","1980's"
"M","2 years of college","West North Central","1990's"
"M","2 years of college","West North Central","2000's"
"M","2 years of college","West North Central","2010's"
"M","2 years of college","West North Central","2020's"
"M","2 years of college","South Atlantic","1970's"
"M","2 years of college","South Atlantic","1980's"
"M","2 years of college","South Atlantic","1990's"
"M","2 years of college","South Atlantic","2000's"
"M","2 years of college","South Atlantic","2010's"
"M","2 years of college","South Atlantic","2020's"
"M","2 years of college","East South Central","1970's"
"M","2 years of college","East South Central","1980's"
"M","2 years of college","East South Central","1990's"
"M","2 years of college","East South Central","2000's"
"M","2 years of college","East South Central","2010's"
"M","2 years of college","East South Central","2020's"
"M","2 years of college","West South Central","1970's"
"M","2 years of college","West South Central","1980's"
"M","2 years of college","West South Central","1990's"
"M","2 years of college","West South Central","2000's"
"M","2 years of college","West South Central","2010's"
"M","2 years of college","West South Central","2020's"
"M","2 years of college","Mountain","1970's"
"M","2 years of college","Mountain","1980's"
"M","2 years of college","Mountain","1990's"
"M","2 years of college","Mountain","2000's"
"M","2 years of college","Mountain","2010's"
"M","2 years of college","Mountain","2020's"
"M","2 years of college","Pacific","1970's"
"M","2 years of college","Pacific","1980's"
"M","2 years of college","Pacific","1990's"
"M","2 years of college","Pacific","2000's"
"M","2 years of college","Pacific","2010's"
"M","2 years of college","Pacific","2020's"
"M","1 year of college","New England","1970's"
"M","1 year of college","New England","1980's"
"M","1 year of college","New England","1990's"
"M","1 year of college","New England","2000's"
"M","1 year of college","New England","2010's"
"M","1 year of college","New England","2020's"
"M","1 year of college","Middle Atlantic","1970's"
"M","1 year of college","Middle Atlantic","1980's"
"M","1 year of college","Middle Atlantic","1990's"
"M","1 year of college","Middle Atlantic","2000's"
"M","1 year of college","Middle Atlantic","2010's"
"M","1 year of college","Middle Atlantic","2020's"
"M","1 year of college","East North Central","1970's"
"M","1 year of college","East North Central","1980's"
"M","1 year of college","East North Central","1990's"
"M","1 year of college","East North Central","2000's"
"M","1 year of college","East North Central","2010's"
"M","1 year of college","East North Central","2020's"
"M","1 year of college","West North Central","1970's"
"M","1 year of college","West North Central","1980's"
"M","1 year of college","West North Central","1990's"
"M","1 year of college","West North Central","2000's"
"M","1 year of college","West North Central","2010's"
"M","1 year of college","West North Central","2020's"
"M","1 year of college","South Atlantic","1970's"
"M","1 year of college","South Atlantic","1980's"
"M","1 year of college","South Atlantic","1990's"
"M","1 year of college","South Atlantic","2000's"
"M","1 year of college","South Atlantic","2010's"
"M","1 year of college","South Atlantic","2020's"
"M","1 year of college","East South Central","1970's"
"M","1 year of college","East South Central","1980's"
"M","1 year of college","East South Central","1990's"
"M","1 year of college","East South Central","2000's"
"M","1 year of college","East South Central","2010's"
"M","1 year of college","East South Central","2020's"
"M","1 year of college","West South Central","1970's"
"M","1 year of college","West South Central","1980's"
"M","1 year of college","West South Central","1990's"
"M","1 year of college","West South Central","2000's"
"M","1 year of college","West South Central","2010's"
"M","1 year of college","West South Central","2020's"
"M","1 year of college","Mountain","1970's"
"M","1 year of college","Mountain","1980's"
"M","1 year of college","Mountain","1990's"
"M","1 year of college","Mountain","2000's"
"M","1 year of college","Mountain","2010's"
"M","1 year of college","Mountain","2020's"
"M","1 year of college","Pacific","1970's"
"M","1 year of college","Pacific","1980's"
"M","1 year of college","Pacific","1990's"
"M","1 year of college","Pacific","2000's"
"M","1 year of college","Pacific","2010's"
"M","1 year of college","Pacific","2020's"
"M","6th grade","New England","1970's"
"M","6th grade","New England","1980's"
